transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,weekday,income_expense
T00757,U022,,Expense,Travel,4679.0,Bank transfer,Delhi,Doctor visit cash,,,,,Expense
T10510,U019,,Expense,Rtavel,791.0,UPI,Chennai,,,,,,Expense
T14667,U108,,Expense,Food,259.0,UPI,,Doctor visit cash,,,,,Expense
T02915,U139,,Expense,Others,843.0,UPI,Kolkata,Paid electricity bill,,,,,Expense
T06420,U054,,Expense,Food,516.0,Bank transfer,Mumbai,Gift,,,,,Expense
T09600,U099,,Expense,Rent,731.0,Bank transfer,Delhi,Salary late,,,,,Expense
T05845,U096,,Expense,Food,388.0,Bank transfer,Bengaluru,Netflix subscription,,,,,Expense
T09062,U185,,Expense,Rent,418.0,Bank transfer,mumbai,Paid electricity bill cash,,,,,Expense
T11610,U102,,Income,Other income,54548.0,UPI,Mumbai,Salary cash,,,,,Income
T11709,U028,2020-11-28,Expense,Rent,201.0,Cash,Bengaluru,Doctor visit via app,2020.0,11.0,28.0,Saturday,Expense
T07464,U043,,Expense,Food,999999.0,Card,Delhi,,,,,,Expense
T07338,U071,2019-07-06,Income,Bonus,68463.0,Cash,lucknow,zhjquyI3MwYbP4rQr9,2019.0,7.0,6.0,Saturday,Income
T00082,U163,,Expense,Food,1325.0,Card,Jaipur,Dinner at resto,,,,,Expense
T08610,U147,2019-04-14,Expense,Food,8096.0,Cash,Jaipur,Course fee,2019.0,4.0,14.0,Sunday,Expense
T08325,U164,,Expense,Rent,194.0,Bank transfer,Bengaluru,Dinner at resto,,,,,Expense
T03004,U039,2020-10-07,Expense,Rnt,1706.0,Bank transfer,Lucknow,Doctor visit,2020.0,10.0,7.0,Wednesday,Expense
T01792,U095,,Expense,Food,20.0,UPI,Kolkata,Gift via app,,,,,Expense
T07169,U054,,Expense,Rent,424.0,UPI,Jaipur,Grocery shopping via app,,,,,Expense
T12842,U146,,Expense,Others,2364.0,Card,Mumbai,Salary,,,,,Expense
T01961,U039,,Expense,Food,183.0,UPI,Mumbai,,,,,,Expense
T01299,U062,,Expense,Food,594.0,Bank transfer,Bengaluru,Netflix subscription,,,,,Expense
T03989,U113,,Expense,Food,239.0,Card,Jaipur,Paid electricity bill cash,,,,,Expense
T13134,U158,,Income,Other income,48427.0,UPI,Hyderabad,Uber to office,,,,,Income
T10795,U116,,Expense,Food,287.0,Bank transfer,Bengaluru,Dinner at resto ,,,,,Expense
T02251,U136,,Expense,Rent,709.0,Card,Ahmedabad,Course fee late,,,,,Expense
T04812,U129,,Expense,Entertainment,4518.0,Card,Lucknow,Netflix subscription,,,,,Expense
T11426,U069,,Expense,Food,512.0,Cash,Jaipur,9mR8zTIgFl,,,,,Expense
T01546,U141,,Expense,Travel,335.0,Bank transfer,Hyderabad,Doctor visit,,,,,Expense
T11648,U102,,Expense,Otehrs,1952.0,Cash,Lucknow,Gift,,,,,Expense
T03610,U010,,Income,Bonus,39902.0,UPI,Jaipur,Paid electricity bill late,,,,,Income
T04796,U055,,Expense,Rent,255.0,UPI,Chennai,Netflix subscription,,,,,Expense
T14447,U186,,Expense,Food,964.0,Card,Bengaluru,Salary,,,,,Expense
T01971,U168,,Income,Salary,67136.0,Bank transfer,Ahmedabad,Monthly rent,,,,,Income
T11440,U081,2019-11-01,Expense,Rent,-1049.0,Bank transfer,Delhi,Grocery shopping ,2019.0,11.0,1.0,Friday,Expense
T04580,U137,,Expense,Rent,2070.0,Card,Pune,Doctor visit,,,,,Expense
T08563,U115,,Expense,Utilities,730.0,Card,Mumbai,Uber to office via app,,,,,Expense
T02867,U047,,Expense,Education,970.0,Cash,Lucknow,Dinner at resto,,,,,Expense
T14631,U184,2021-03-27,Expense,Utilities,101.0,Cash,Jaipur,Course fee,2021.0,3.0,27.0,Saturday,Expense
T13312,U127,,Expense,Travel,480.0,Bank transfer,Pune,Netflix subscription,,,,,Expense
T03414,U103,,Expense,Travel,49.0,Bank transfer,Lucknow,Course fee,,,,,Expense
T01292,U136,,Expense,Rent,18.0,Cash,Hyderabad,Paid electricity bill,,,,,Expense
T13881,U165,,Expense,Entertainment,908.0,Card,Chennai,Monthly rent,,,,,Expense
T14170,U095,2022-07-03,Expense,Travel,1701.0,Cash,Kolkata,Salary,2022.0,7.0,3.0,Sunday,Expense
T02412,U093,,Expense,Food,1328.0,Card,Kolkata,Paid electricity bill,,,,,Expense
T13217,U048,,Expense,Food,412.0,UPI,Kolkata,iu2HPMFwQ3ZsxQWTV25,,,,,Expense
T06670,U182,,Expense,Food,4204.0,Card,Ahmedabad,,,,,,Expense
T13829,U025,,Expense,Savings,284.0,Card,DELHI,Dinner at resto,,,,,Expense
T08053,U134,2021-12-13,Expense,Rent,2016.0,Card,Ahmedabad,Monthly rent,2021.0,12.0,13.0,Monday,Expense
T12635,U060,,Income,Other income,64138.0,Bank transfer,Jaipur,Monthly rent via app,,,,,Income
T13323,U122,,Expense,Travel,1741.0,Card,Lucknow,Course fee via app,,,,,Expense
T02261,U172,,Income,Salary,77659.0,Card,AHMEDABAD,Dinner at resto,,,,,Income
T02196,U090,,Expense,Food,448.0,Bank transfer,Kolkata,Uber to office late,,,,,Expense
T08791,U179,,Expense,Food,299.0,Bank transfer,Jaipur,Dinner at resto,,,,,Expense
T09528,U142,,Income,Other income,75061.0,UPI,Mumbai,Salary,,,,,Income
T12537,U162,,Income,Bonus,59042.0,UPI,Lucknow,Paid electricity bill,,,,,Income
T14935,U174,,Expense,Education,1152.0,UPI,Kolkata,Doctor visit ,,,,,Expense
T00155,U131,,Expense,Food,47.0,Card,Bengaluru,Paid electricity bill,,,,,Expense
T10688,U164,,Expense,Rent,160.0,Bank transfer,Jaipur,,,,,,Expense
T11189,U045,,Expense,Food,600.0,Cash,Bengaluru,Course fee via app,,,,,Expense
T08825,U183,,Income,Bonus,42819.0,Card,Ahmedabad,Gift via app,,,,,Income
T11091,U150,,Expense,Food,164.0,Bank transfer,Jaipur,7LFdoPRzhpf,,,,,Expense
T14178,U146,,Expense,Rent,349.0,Bank transfer,Jaipur,Gift,,,,,Expense
T09491,U106,2021-08-15,Expense,Education,548.0,UPI,Mumbai,Monthly rent,2021.0,8.0,15.0,Sunday,Expense
T08671,U042,2019-02-18,Expense,Utilities,2209.0,Card,Bengaluru,Paid electricity bill,2019.0,2.0,18.0,Monday,Expense
T10156,U091,,Expense,Rent,490.0,Bank transfer,Delhi,,,,,,Expense
T12486,U034,,Expense,Rent,6523.0,Cash,Delhi,Monthly rent,,,,,Expense
T02655,U013,,Income,Other income,76838.0,UPI,Kolkata,Uber to office,,,,,Income
T01251,U136,,Expense,Retn,1364.0,Card,Chennai,,,,,,Expense
T07139,U025,,Expense,Education,767.0,Card,Pune,Uber to office,,,,,Expense
T11750,U049,,Expense,Travel,117.0,Nan,Delhi,Monthly rent late,,,,,Expense
T05211,U001,2022-11-30,Expense,Utilities,102.0,Cash,Lucknow,Monthly rent,2022.0,11.0,30.0,Wednesday,Expense
T01271,U047,,Expense,Rent,416.0,UPI,pune,Netflix subscription,,,,,Expense
T12823,U109,,Expense,Entertainment,111.0,Bank transfer,Hyderabad,Grocery shopping,,,,,Expense
T05730,U076,,Expense,Entertainment,831.0,Bank transfer,Kolkata,fADSGGeLdIUz9KhNcw,,,,,Expense
T00038,U047,,Income,Salary,49333.0,Bank transfer,Bengaluru,,,,,,Income
T06339,U036,,Expense,Entertainment,117.0,UPI,Lucknow,Uber to office,,,,,Expense
